goal_id,match_id,scoring_team,opponent_team,player_id,player_name
G-2077,M-2002-01,Senegal,France,P-82212,Papa Bouba Diop
G-2078,M-2002-02,Cameroon,Republic of Ireland,P-18804,Patrick M'Boma
G-2079,M-2002-02,Republic of Ireland,Cameroon,P-00105,Matt Holland
G-2080,M-2002-03,Denmark,Uruguay,P-50534,Jon Dahl Tomasson
G-2081,M-2002-03,Uruguay,Denmark,P-49428,Darío Rodríguez
G-2082,M-2002-03,Denmark,Uruguay,P-50534,Jon Dahl Tomasson
G-2083,M-2002-04,Germany,Saudi Arabia,P-27787,Miroslav Klose
G-2084,M-2002-04,Germany,Saudi Arabia,P-27787,Miroslav Klose
G-2085,M-2002-04,Germany,Saudi Arabia,P-84003,Michael Ballack
G-2086,M-2002-04,Germany,Saudi Arabia,P-45490,Carsten Jancker
G-2087,M-2002-04,Germany,Saudi Arabia,P-27787,Miroslav Klose
G-2088,M-2002-04,Germany,Saudi Arabia,P-17520,Thomas Linke
G-2089,M-2002-04,Germany,Saudi Arabia,P-84534,Oliver Bierhoff
G-2090,M-2002-04,Germany,Saudi Arabia,P-32136,Bernd Schneider
G-2091,M-2002-05,Argentina,Nigeria,P-84542,Gabriel Batistuta
G-2092,M-2002-06,Paraguay,South Africa,P-34530,Roque Santa Cruz
G-2093,M-2002-06,Paraguay,South Africa,P-76678,Francisco Arce
G-2094,M-2002-06,South Africa,Paraguay,P-99521,Teboho Mokoena
G-2095,M-2002-06,South Africa,Paraguay,P-02423,Quinton Fortune
G-2096,M-2002-07,England,Sweden,P-97840,Sol Campbell
G-2097,M-2002-07,Sweden,England,P-42808,Niclas Alexandersson
G-2098,M-2002-08,Spain,Slovenia,P-24556,not applicable Raúl
G-2099,M-2002-08,Spain,Slovenia,P-76612,Juan Carlos Valerón
G-2100,M-2002-08,Slovenia,Spain,P-00649,Sebastjan Cimirotič
G-2101,M-2002-08,Spain,Slovenia,P-35246,Fernando Hierro
G-2102,M-2002-09,Mexico,Croatia,P-88428,Cuauhtémoc Blanco
G-2103,M-2002-10,Turkey,Brazil,P-23883,Hasan Şaş
G-2104,M-2002-10,Brazil,Turkey,P-62722,not applicable Ronaldo
G-2105,M-2002-10,Brazil,Turkey,P-74261,not applicable Rivaldo
G-2106,M-2002-11,Italy,Ecuador,P-34670,Christian Vieri
G-2107,M-2002-11,Italy,Ecuador,P-34670,Christian Vieri
G-2108,M-2002-12,Costa Rica,China,P-55170,Rónald Gómez
G-2109,M-2002-12,Costa Rica,China,P-56613,Mauricio Wright
G-2110,M-2002-13,Belgium,Japan,P-69659,Marc Wilmots
G-2111,M-2002-13,Japan,Belgium,P-96566,Takayuki Suzuki
G-2112,M-2002-13,Japan,Belgium,P-46807,Junichi Inamoto
G-2113,M-2002-13,Belgium,Japan,P-02977,Peter Van der Heyden
G-2114,M-2002-14,South Korea,Poland,P-15222,Sun-hong Hwang
G-2115,M-2002-14,South Korea,Poland,P-75255,Sang-chul Yoo
G-2116,M-2002-15,Russia,Tunisia,P-66907,Yegor Titov
G-2117,M-2002-15,Russia,Tunisia,P-48249,Valeri Karpin
G-2118,M-2002-16,United States,Portugal,P-88043,John O'Brien
G-2119,M-2002-16,United States,Portugal,P-73722,Jorge Costa
G-2120,M-2002-16,United States,Portugal,P-60597,Brian McBride
G-2121,M-2002-16,Portugal,United States,P-37140,not applicable Beto
G-2122,M-2002-16,Portugal,United States,P-72797,Jeff Agoos
G-2123,M-2002-17,Germany,Republic of Ireland,P-27787,Miroslav Klose
G-2124,M-2002-17,Republic of Ireland,Germany,P-84878,Robbie Keane
G-2125,M-2002-18,Denmark,Senegal,P-50534,Jon Dahl Tomasson
G-2126,M-2002-18,Senegal,Denmark,P-35019,Salif Diao
G-2127,M-2002-19,Cameroon,Saudi Arabia,P-61703,Samuel Eto'o
G-2128,M-2002-21,Nigeria,Sweden,P-74228,Julius Aghahowa
G-2129,M-2002-21,Sweden,Nigeria,P-42895,Henrik Larsson
G-2130,M-2002-21,Sweden,Nigeria,P-42895,Henrik Larsson
G-2131,M-2002-22,Paraguay,Spain,P-51089,Carles Puyol
G-2132,M-2002-22,Spain,Paraguay,P-08514,Fernando Morientes
G-2133,M-2002-22,Spain,Paraguay,P-08514,Fernando Morientes
