match_id,team1,team2,team1_score,team2_score
M-2002-01,France,Senegal,0,1
M-2002-02,Republic of Ireland,Cameroon,1,1
M-2002-03,Uruguay,Denmark,1,2
M-2002-04,Germany,Saudi Arabia,8,0
M-2002-05,Argentina,Nigeria,1,0
M-2002-06,Paraguay,South Africa,2,2
M-2002-07,England,Sweden,1,1
M-2002-08,Spain,Slovenia,3,1
M-2002-09,Croatia,Mexico,0,1
M-2002-10,Brazil,Turkey,2,1
M-2002-11,Italy,Ecuador,2,0
M-2002-12,China,Costa Rica,0,2
M-2002-13,Japan,Belgium,2,2
M-2002-14,South Korea,Poland,2,0
M-2002-15,Russia,Tunisia,2,0
M-2002-16,United States,Portugal,3,2
M-2002-17,Germany,Republic of Ireland,1,1
M-2002-18,Denmark,Senegal,1,1
M-2002-19,Cameroon,Saudi Arabia,1,0
M-2002-20,France,Uruguay,0,0
M-2002-21,Sweden,Nigeria,2,1
M-2002-22,Spain,Paraguay,3,1
M-2002-23,Argentina,England,0,1
M-2002-24,South Africa,Slovenia,1,0
M-2002-25,Italy,Croatia,1,2
M-2002-26,Brazil,China,4,0
M-2002-27,Mexico,Ecuador,2,1
M-2002-28,Costa Rica,Turkey,1,1
M-2002-29,Japan,Russia,1,0
M-2002-30,South Korea,United States,1,1
M-2002-31,Tunisia,Belgium,1,1
M-2002-32,Portugal,Poland,4,0
M-2002-33,Denmark,France,2,0
M-2002-34,Senegal,Uruguay,3,3
M-2002-35,Cameroon,Germany,0,2
M-2002-36,Saudi Arabia,Republic of Ireland,0,3
M-2002-37,Nigeria,England,0,0
M-2002-38,Sweden,Argentina,1,1
M-2002-39,Slovenia,Paraguay,1,3
M-2002-40,South Africa,Spain,2,3
M-2002-41,Costa Rica,Brazil,2,5
M-2002-42,Turkey,China,3,0
M-2002-43,Ecuador,Croatia,1,0
M-2002-44,Mexico,Italy,1,1
M-2002-45,Belgium,Russia,3,2
M-2002-46,Tunisia,Japan,0,2
M-2002-47,Poland,United States,3,1
M-2002-48,Portugal,South Korea,0,1
M-2002-49,Germany,Paraguay,1,0
M-2002-50,Denmark,England,0,3
M-2002-51,Sweden,Senegal,1,2
M-2002-52,Spain,Republic of Ireland,1,1
M-2002-53,Mexico,United States,0,2
M-2002-54,Brazil,Belgium,2,0
M-2002-55,Japan,Turkey,0,1
M-2002-56,South Korea,Italy,2,1
M-2002-57,England,Brazil,1,2
M-2002-58,Germany,United States,1,0
M-2002-59,Spain,South Korea,0,0
M-2002-60,Senegal,Turkey,0,1
M-2002-61,Germany,South Korea,1,0
M-2002-62,Brazil,Turkey,1,0
M-2002-63,South Korea,Turkey,2,3
M-2002-64,Germany,Brazil,0,2
M-2006-01,Germany,Costa Rica,4,2
M-2006-02,Poland,Ecuador,0,2
M-2006-03,England,Paraguay,1,0
M-2006-04,Trinidad and Tobago,Sweden,0,0
M-2006-05,Argentina,Ivory Coast,2,1
M-2006-06,Serbia and Montenegro,Netherlands,0,1
M-2006-07,Mexico,Iran,3,1
M-2006-08,Angola,Portugal,0,1
M-2006-09,Australia,Japan,3,1
M-2006-10,United States,Czech Republic,0,3
M-2006-11,Italy,Ghana,2,0
M-2006-12,South Korea,Togo,2,1
M-2006-13,France,Switzerland,0,0
M-2006-14,Brazil,Croatia,1,0
M-2006-15,Spain,Ukraine,4,0
M-2006-16,Tunisia,Saudi Arabia,2,2
M-2006-17,Germany,Poland,1,0
M-2006-18,Ecuador,Costa Rica,3,0
M-2006-19,England,Trinidad and Tobago,2,0
M-2006-20,Sweden,Paraguay,1,0
M-2006-21,Argentina,Serbia and Montenegro,6,0
M-2006-22,Netherlands,Ivory Coast,2,1
M-2006-23,Mexico,Angola,0,0
M-2006-24,Portugal,Iran,2,0
M-2006-25,Czech Republic,Ghana,0,2
M-2006-26,Italy,United States,1,1
M-2006-27,Japan,Croatia,0,0
M-2006-28,Brazil,Australia,2,0
M-2006-29,France,South Korea,1,1
M-2006-30,Togo,Switzerland,0,2
M-2006-31,Saudi Arabia,Ukraine,0,4
M-2006-32,Spain,Tunisia,3,1
M-2006-33,Costa Rica,Poland,1,2
M-2006-34,Ecuador,Germany,0,3
M-2006-35,Paraguay,Trinidad and Tobago,2,0
M-2006-36,Sweden,England,2,2
M-2006-37,Iran,Angola,1,1
M-2006-38,Portugal,Mexico,2,1
M-2006-39,Ivory Coast,Serbia and Montenegro,3,2
M-2006-40,Netherlands,Argentina,0,0
M-2006-41,Czech Republic,Italy,0,2
M-2006-42,Ghana,United States,2,1
M-2006-43,Croatia,Australia,2,2
M-2006-44,Japan,Brazil,1,4
M-2006-45,Saudi Arabia,Spain,0,1
M-2006-46,Ukraine,Tunisia,1,0
M-2006-47,Switzerland,South Korea,2,0
M-2006-48,Togo,France,0,2
M-2006-49,Germany,Sweden,2,0
M-2006-50,Argentina,Mexico,2,1
M-2006-51,England,Ecuador,1,0
M-2006-52,Portugal,Netherlands,1,0
M-2006-53,Italy,Australia,1,0
M-2006-54,Switzerland,Ukraine,0,0
M-2006-55,Brazil,Ghana,3,0
M-2006-56,Spain,France,1,3
M-2006-57,Germany,Argentina,1,1
M-2006-58,Italy,Ukraine,3,0
M-2006-59,England,Portugal,0,0
M-2006-60,Brazil,France,0,1
M-2006-61,Germany,Italy,0,2
M-2006-62,Portugal,France,0,1
M-2006-63,Germany,Portugal,3,1
M-2006-64,Italy,France,1,1
M-2010-01,South Africa,Mexico,1,1
M-2010-02,Uruguay,France,0,0
M-2010-03,South Korea,Greece,2,0
M-2010-04,Argentina,Nigeria,1,0
M-2010-05,England,United States,1,1
M-2010-06,Algeria,Slovenia,0,1
M-2010-07,Serbia,Ghana,0,1
M-2010-08,Germany,Australia,4,0
M-2010-09,Netherlands,Denmark,2,0
M-2010-10,Japan,Cameroon,1,0
M-2010-11,Italy,Paraguay,1,1
M-2010-12,New Zealand,Slovakia,1,1
M-2010-13,Ivory Coast,Portugal,0,0
M-2010-14,Brazil,North Korea,2,1
M-2010-15,Honduras,Chile,0,1
M-2010-16,Spain,Switzerland,0,1
M-2010-17,South Africa,Uruguay,0,3
M-2010-18,Argentina,South Korea,4,1
M-2010-19,Greece,Nigeria,2,1
M-2010-20,France,Mexico,0,2
M-2010-21,Germany,Serbia,0,1
M-2010-22,Slovenia,United States,2,2
M-2010-23,England,Algeria,0,0
M-2010-24,Netherlands,Japan,1,0
M-2010-25,Ghana,Australia,1,1
M-2010-26,Cameroon,Denmark,1,2
M-2010-27,Slovakia,Paraguay,0,2
M-2010-28,Italy,New Zealand,1,1
M-2010-29,Brazil,Ivory Coast,3,1
M-2010-30,Portugal,North Korea,7,0
M-2010-31,Chile,Switzerland,1,0
M-2010-32,Spain,Honduras,2,0
M-2010-33,France,South Africa,1,2
M-2010-34,Mexico,Uruguay,0,1
M-2010-35,Greece,Argentina,0,2
