player_id,player_name,birth_year,age,goal_keeper,defender,midfielder,forward,count_tournaments,list_tournament_years
P-03484,Brenden Aaronson,2000,26,0,0,0,1,1,[2022]
P-03523,Jean-Paul Abalo,1975,51,0,1,0,0,1,[2006]
P-75462,Ignazio Abate,1986,40,0,1,0,0,1,[2014]
P-81393,Christian Abbiati,1977,49,1,0,0,0,1,[2002]
P-86290,Roberto Abbondanzieri,1972,54,1,0,0,0,1,[2006]
P-29161,Mohamed Abdel Shafy,1985,41,0,1,0,0,1,[2018]
P-64924,Ali Abdi,1993,33,0,1,0,0,1,[2022]
P-94880,Djamel Abdoun,1986,40,0,0,1,0,1,[2010]
P-21820,Salis Abdul Samed,2000,26,0,0,1,0,1,[2022]
P-77199,Hussein Abdulghani,1977,49,0,1,0,0,2,"[2002, 2006]"
P-08125,Saud Abdulhamid,1999,27,0,1,0,0,1,[2022]
P-75724,Shehu Abdullahi,1993,33,0,1,0,0,1,[2018]
P-00148,Yuki Abe,1981,45,0,0,1,0,1,[2010]
P-80505,Amir Abedzadeh,1993,33,1,0,0,0,2,"[2018, 2022]"
P-04469,Eric Abidal,1979,47,0,1,0,0,2,"[2006, 2010]"
P-53452,Vincent Aboubakar,1992,34,0,0,0,1,3,"[2010, 2014, 2022]"
P-48295,Zakaria Aboukhlal,2000,26,0,0,1,0,1,[2022]
P-91786,Marco Abreu,1974,52,0,1,0,0,1,[2006]
P-64372,Sebastián Abreu,1976,50,0,0,0,1,2,"[2002, 2010]"
P-29870,Gabriel Achilier,1985,41,0,1,0,0,1,[2014]
P-44943,Milenko Ačimovič,1977,49,0,0,0,1,1,[2002]
P-65320,Jhonny Acosta,1983,43,0,1,0,0,2,"[2014, 2018]"
P-86410,Kellyn Acosta,1995,31,0,0,1,0,1,[2022]
P-63370,Afriyie Acquah,1992,34,0,0,1,0,1,[2014]
P-73712,Marcos Acuña,1991,35,0,1,1,0,2,"[2018, 2022]"
P-17884,Roberto Acuña,1972,54,0,0,1,0,2,"[2002, 2006]"
P-40630,Stephen Adams,1989,37,1,0,0,0,1,[2014]
P-14151,Tyler Adams,1999,27,0,0,1,0,1,[2022]
P-77757,Eric Addo,1978,48,0,1,0,0,1,[2006]
P-23846,Otto Addo,1975,51,0,0,0,1,1,[2006]
P-56284,Lee Addy,1985,41,0,1,0,0,1,[2010]
P-48772,Emmanuel Adebayor,1984,42,0,0,0,1,1,[2006]
P-55821,Sam Adekugbe,1995,31,0,1,0,0,1,[2022]
P-42799,Dele Adeleye,1988,38,0,1,0,0,1,[2010]
P-56969,Mutiu Adepoju,1970,56,0,0,1,0,1,[2002]
P-05901,Karim Adeyemi,2002,24,0,0,0,1,1,[2022]
P-65216,Dominic Adiyiah,1989,37,0,0,0,1,1,[2010]
P-17027,Sammy Adjei,1980,46,1,0,0,0,1,[2006]
P-67189,Albert Adomah,1987,39,0,0,1,0,1,[2014]
P-20372,not applicable Adriano,1982,44,0,0,0,1,1,[2006]
P-47833,Luis Advíncula,1990,36,0,1,0,0,1,[2018]
P-32222,Michel Aebischer,1997,29,0,0,1,0,1,[2022]
P-81141,Ibrahim Afellay,1986,40,0,0,1,0,1,[2010]
