match_id,team1,team2,date,round
M-2026-73,RUNNER_UP_A,RUNNER_UP_B,29.6.2026,16 Final
M-2026-74,WINNER_E,THIRD_1,30.6.2026,16 Final
M-2026-75,WINNER_F,RUNNER_UP_C,30.6.2026,16 Final
M-2026-76,WINNER_C,RUNNER_UP_F,30.6.2026,16 Final
M-2026-77,WINNER_I,THIRD_2,1.7.2026,16 Final
M-2026-78,RUNNER_UP_E,RUNNER_UP_I,1.7.2026,16 Final
M-2026-79,WINNER_A,THIRD_3,1.7.2026,16 Final
M-2026-80,WINNER_L,THIRD_4,1.7.2026,16 Final
M-2026-81,WINNER_D,THIRD_5,2.7.2026,16 Final
M-2026-82,WINNER_G,THIRD_6,2.7.2026,16 Final
M-2026-83,RUNNER_UP_K,RUNNER_UP_L,3.7.2026,16 Final
M-2026-84,WINNER_H,RUNNER_UP_J,3.7.2026,16 Final
M-2026-85,WINNER_B,THIRD_7,3.7.2026,16 Final
M-2026-86,WINNER_J,RUNNER_UP_H,4.7.2026,16 Final
M-2026-87,WINNER_K,THIRD_8,4.7.2026,16 Final
M-2026-88,RUNNER_UP_D,RUNNER_UP_G,4.7.2026,16 Final
M-2026-89,WINNER_73,WINNER_75,5.7.2026,8 Final
M-2026-90,WINNER_74,WINNER_77,5.7.2026,8 Final
M-2026-91,WINNER_76,WINNER_78,6.7.2026,8 Final
M-2026-92,WINNER_79,WINNER_80,6.7.2026,8 Final
M-2026-93,WINNER_83,WINNER_84,7.7.2026,8 Final
M-2026-94,WINNER_81,WINNER_82,7.7.2026,8 Final
M-2026-95,WINNER_86,WINNER_88,8.7.2026,8 Final
M-2026-96,WINNER_85,WINNER_87,8.7.2026,8 Final
M-2026-97,WINNER_89,WINNER_90,10.7.2026,Quarter Final
M-2026-98,WINNER_93,WINNER_94,11.7.2026,Quarter Final
M-2026-99,WINNER_91,WINNER_92,12.7.2026,Quarter Final
M-2026-100,WINNER_95,WINNER_96,12.7.2026,Quarter Final
M-2026-101,WINNER_97,WINNER_98,15.7.2026,Half Final
M-2026-102,WINNER_99,WINNER_100,16.7.2026,Half Final
M-2026-103,LOSER_101,LOSER_102,19.7.2026,Game for Spot 3
M-2026-104,WINNER_101,WINNER_102,20.7.2026,Final
