match_id,team1,team2,win,total_goals_team1,num_players_with_goals_team1,max_goals_by_single_player_team1,total_matches_team1,matches_with_goals_team1,matches_without_goals_team1,avg_goals_per_match_team1,total_goals_team2,num_players_with_goals_team2,max_goals_by_single_player_team2,total_matches_team2,matches_with_goals_team2,matches_without_goals_team2,avg_goals_per_match_team2,goals_diff,matches_diff,avg_goals_diff,num_players_with_goals_diff,max_goals_diff
M-2002-01,France,Senegal,0,50.0,24.0,12.0,32.0,22.0,10.0,1.5625,16.0,13.0,3.0,12.0,8.0,4.0,1.3333333333333333,34.0,20.0,0.22916666666666674,11.0,9.0
M-2002-01,Senegal,France,1,16.0,13.0,3.0,12.0,8.0,4.0,1.3333333333333333,50.0,24.0,12.0,32.0,22.0,10.0,1.5625,-34.0,-20.0,-0.22916666666666674,-11.0,-9.0
M-2002-02,Cameroon,Republic of Ireland,0,9.0,6.0,3.0,12.0,7.0,5.0,0.75,6.0,4.0,3.0,4.0,4.0,0.0,1.5,3.0,8.0,-0.75,2.0,0.0
M-2002-02,Republic of Ireland,Cameroon,0,6.0,4.0,3.0,4.0,4.0,0.0,1.5,9.0,6.0,3.0,12.0,7.0,5.0,0.75,-3.0,-8.0,0.75,-2.0,0.0
M-2002-03,Denmark,Uruguay,1,12.0,7.0,5.0,14.0,9.0,5.0,0.8571428571428571,28.0,12.0,7.0,22.0,16.0,6.0,1.2727272727272727,-16.0,-8.0,-0.4155844155844156,-5.0,-2.0
M-2002-03,Uruguay,Denmark,0,28.0,12.0,7.0,22.0,16.0,6.0,1.2727272727272727,12.0,7.0,5.0,14.0,9.0,5.0,0.8571428571428571,16.0,8.0,0.4155844155844156,5.0,2.0
M-2002-04,Germany,Saudi Arabia,1,70.0,28.0,16.0,34.0,28.0,6.0,2.0588235294117645,7.0,5.0,3.0,12.0,4.0,8.0,0.5833333333333334,63.0,22.0,1.475490196078431,23.0,13.0
M-2002-04,Saudi Arabia,Germany,0,7.0,5.0,3.0,12.0,4.0,8.0,0.5833333333333334,70.0,28.0,16.0,34.0,28.0,6.0,2.0588235294117645,-63.0,-22.0,-1.475490196078431,-23.0,-13.0
M-2002-05,Argentina,Nigeria,1,52.0,22.0,13.0,31.0,25.0,6.0,1.6774193548387097,10.0,6.0,4.0,13.0,7.0,6.0,0.7692307692307693,42.0,18.0,0.9081885856079405,16.0,9.0
M-2002-05,Nigeria,Argentina,0,10.0,6.0,4.0,13.0,7.0,6.0,0.7692307692307693,52.0,22.0,13.0,31.0,25.0,6.0,1.6774193548387097,-42.0,-18.0,-0.9081885856079405,-16.0,-9.0
M-2002-06,South Africa,Paraguay,0,8.0,8.0,1.0,6.0,5.0,1.0,1.3333333333333333,11.0,9.0,3.0,12.0,6.0,6.0,0.9166666666666666,-3.0,-6.0,0.41666666666666663,-1.0,-2.0
